Authors,Year,Study Type,Study Organism(s),Common,Active Ingredient(s),Application Rate,Individuals (n),Measure,Mean,± SD,± SE,Treatments,Replicates,Location,Data Source,,F,t,Z,X2,P
,,,,,,,,Pupae,100,,0,,,Korea,Table 2,,,,,,
,,,,,,,,Adult,86.7,,11.5,,,Korea,Table 2,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Moser and Obrycki,2009,greenhouse,Harmonia axyridis,Lady beetle,thiamethoxam,0.250 mg/ AI seed,90,time (min) to neurotoxic sympt.,228,,35,2,15,Kentucky,Results text,,,,,,
,,,Harmonia axyridis,Lady beetle,clothianidin,0.250 mg/ AI seed,90,time (min) to neurotoxic sympt.,92,,29,2,15,Kentucky,Results text,,,,,,
,,,Harmonia axyridis,Lady beetle,control,*,90,time (min) to neurotoxic sympt.,0,,0,2,15,Kentucky,Results text,,,,,,
,,,,,,,,,,,,,,,,,,,,,
He et al.,2012,lab,Serangium japonicum,Lady beetle,imidacloprid,0.005 g/L,1 per 1000 eggs,consumption of eggs (24 hrs),445.67,,19.73,2,10,China,Table 2,,,,,,
,,,Serangium japonicum,Lady beetle,control,*,1 per 1000 eggs,consumption of eggs (24 hrs),753,,14.46,2,10,China,Table 2,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Douglas et al.,2015,field,,slug predators,thiamethoxam,0.152 mg AI/seed,1052,potential slug predators (#/trap/72 hrs),5.38,,0.69,2,6,Pennyslvania,Table 1,,,,,,
,,,,slug predators,control,*,1052,potential slug predators (#/trap/72 hrs),7.79,,0.57,2,6,Pennyslvania,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fogel et al. ,2016,lab,Eriopis connexa,Ladybird beetles,acetamiprid,100 mg AI/L,30,pupal survival percentage,95.8,,4.1,2,3,Argentina,Table 1,,,,,,
,,,,,acetamiprid,200 mg AI/L,30,pupal survival percentage,85.2,,9.7,2,3,Argentina,Table 1,,,,,,
,,,,,control,*,30,pupal survival percentage,100,,0,2,3,Argentina,Table 1,,,,,,
,,,,,acetamiprid,100 mg AI/L,30,malformed adults,82.7,,10.5,2,3,Argentina,Table 1,,,,,,
,,,,,acetamiprid,200 mg AI/L,30,malformed adults,100,,0,2,3,Argentina,Table 1,,,,,,
,,,,,control,*,30,malformed adults,0,,0,2,3,Argentina,Table 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
